,ID,Year,State,region,domestic,commercial,industrial_low_volt,industrial_high_volt,public_lighting,traction,agriculture,public_water_works,miscellaneous,total_energy_sold
177,851,2018-19,Odisha,ER,7175.2164050000,1833.477,384.3007,57825.854539,119.353219,1203.341203,558.8918,154.536382,949.710017,70204.681265000
178,799,2019-20,Chhattisgarh,WR,5605.741252,1563.45766,557.613914,33018.310528,88.833417,987.51834699999,5082.346785,374.404455,0,47278.226358
179,800,2019-20,Gujarat,WR,16100.60154368,5004.49171871,16615.5153309,61410.42978334,273.75715906,701.69000000000,11989.834263,2041.002322,213.498456,114350.82057669
180,802,2019-20,Maharashtra,WR,29807.889164,15739.563245,9962.110911,39188.407678835,1971.59926627,2659.731532,29291.230289000,2871.738253,1758.570386,133250.84072510
181,803,2019-20,Daman & Diu,WR,146.33292,49.752624,204.612065,2067.517578,6.310647,0,4.344895,2.79654,14.488602,2496.155871
182,804,2019-20,D & N Haveli,WR,154.02,36.6,219.44,5883.3790000000,3.06,0,5.25,5.01,3.75,6310.5090000000
183,805,2019-20,Goa,WR,1208.13,616.64,132.4098,2379.040857,2.9,0,27.29,0,53.28,4419.6906569999
184,806,2019-20,Andhra Pradesh,SR,15840.349570183,4929.56222499,2832.17629708,20897.35888819,296.71253154,1595.227368,15338.11842524,955.31843199999,2869.04214036,65553.865877583
185,798,2019-20,Uttarakhand,NR,3113.847,1396.932,311.937,6969.4189407059,46.448,29.083,191.351,453.033,373.485,12885.534940706
186,797,2019-20,Uttar Pradesh,NR,42249.049,6697.846,4371.558,22651.615430250,873.254,1683.94,18200.05,1747.561,7779.54,106254.41343025
187,796,2019-20,Rajasthan,NR,12660.816626,4813.257445,3011.192,21479.278051541,304.75568,381.88,25664.745068,2370.566452,1436.722852,72123.214174541
188,795,2019-20,Punjab,NR,13612.80119894,3795.50037591,4136.012627,16734.1611123,139.941449,258.22,11581.56,0,1489.8111315,51748.007894649
189,794,2019-20,Jammu & Kashmir,NR,4445.6,1401.45,650.3308975,1404.45815,62.85,22.82,368,748,1525,10628.5090475
190,793,2019-20,Himachal Pradesh,NR,2193.693,623,89.574,5360.0247172098,10.745,0,56.728,560.467,356.487,9250.7187172098
191,792,2019-20,Haryana,NR,11077.809176195,4875.9160090946,1800.71594703,15529.135026966,223.05828064,385.29,10371.157922,1117.89521952,1366.382274,46747.359855446
192,791,2019-20,Delhi,NR,16461.492182077,7653.3204530901,3008.698273105,384.782086718,353.925752696,221,37.357986495000,389.202171347,1303.1810108150,29812.959916344
193,790,2019-20,Chandigarh,NR,757.263,474.477,122.8,139.426,14.794,0,1.015,9.593,86.127999999999,1605.496
